ingredient,canonical_name,groq_confidence,fda_search_term,brand_names,generic_names,manufacturers,dosage_forms,warnings_count,interactions_count,adverse_count,indications_count,first_warning,first_interaction,first_adverse,first_indication
abatacept,abatacept,1.0,abatacept,ORENCIA,ABATACEPT,"E.R. Squibb & Sons, L.L.C.",,0,8,13,5,,7 DRUG INTERACTIONS 7.1 Immunosuppressants Concomitant administration of a TNF antagonist with ORENCIA has been associated with an increased risk of serious infections and no significant additional efficacy over use of the TNF antagonists alone,6 ADVERSE REACTIONS The following clinically significant adverse reactions are described elsewhere in the labeling:,1 INDICATIONS AND USAGE ORENCIA is a selective T cell costimulation modulator indicated for:
abemaciclib,abemaciclib,1.0,abemaciclib,Verzenio,ABEMACICLIB,Eli Lilly and Company,,0,10,13,5,,7 DRUG INTERACTIONS CYP3A Inhibitors: Avoid concomitant use of ketoconazole,6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling: Diarrhea [see Warnings and Precautions ( 5.1 )] ,"1 INDICATIONS AND USAGE VERZENIO ® is a kinase inhibitor indicated: in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, node-positive, e"
abiraterone acetate,abiraterone,0.99,abiraterone,Abiraterone | Abiraterone Acetate,ABIRATERONE ACETATE,"Apotex Corp. | CivicaScript, LLC | Dr. Reddys Laboratories Inc",,0,10,13,2,,7 DRUG INTERACTIONS CYP3A4 Inducers: Avoid concomitant strong CYP3A4 inducers during abiraterone acetate treatment,"6 ADVERSE REACTIONS The following are discussed in more detail in other sections of the labeling: Hypokalemia, Fluid Retention, and Cardiovascular Adverse Reactions due to Mineralocorticoid Excess [see Warnings and Precautions ( 5.1 )]",1 INDICATIONS AND USAGE Abiraterone acetate tablets are indicated in combination with prednisone for the treatment of patients with Metastatic castration-resistant prostate cancer (CRPC) Metastatic high-risk castration-sensitive prostate cancer (CSPC) Abiraterone acetate tablet is a CYP17 inhibitor 
abriol,abiraterone,0.95,abiraterone,Abiraterone | Abiraterone Acetate,ABIRATERONE ACETATE,"Apotex Corp. | CivicaScript, LLC | Dr. Reddys Laboratories Inc",,0,10,13,2,,7 DRUG INTERACTIONS CYP3A4 Inducers: Avoid concomitant strong CYP3A4 inducers during abiraterone acetate treatment,"6 ADVERSE REACTIONS The following are discussed in more detail in other sections of the labeling: Hypokalemia, Fluid Retention, and Cardiovascular Adverse Reactions due to Mineralocorticoid Excess [see Warnings and Precautions ( 5.1 )]",1 INDICATIONS AND USAGE Abiraterone acetate tablets are indicated in combination with prednisone for the treatment of patients with Metastatic castration-resistant prostate cancer (CRPC) Metastatic high-risk castration-sensitive prostate cancer (CSPC) Abiraterone acetate tablet is a CYP17 inhibitor 
acalabrutinib,acalabrutinib,1.0,acalabrutinib,CALQUENCE,ACALABRUTINIB,AstraZeneca Pharmaceuticals LP,,0,10,14,5,,7 DRUG INTERACTIONS,6 ADVERSE REACTIONS The following clinically significant adverse reactions are discussed in greater detail in other sections of the labeling:,1 INDICATIONS AND USAGE CALQUENCE is a kinase inhibitor indicated:
acarbose,acarbose,1.0,acarbose,Acarbose,ACARBOSE,Bryant Ranch Prepack | Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,,0,10,11,1,,Drug Interactions Certain drugs tend to produce hyperglycemia and may lead to loss of blood glucose control,ADVERSE REACTIONS Digestive Tract Gastrointestinal symptoms are the most common reactions to acarbose tablets,"INDICATIONS AND USAGE Acarbose tablets, USP are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus"
acebutolol,acebutolol,1.0,acebutolol,Acebutolol Hydrochloride,ACEBUTOLOL HYDROCHLORIDE,"ANI Pharmaceuticals, Inc. | Amneal Pharmaceuticals LLC | Golden State Medical Supply, Inc.",,10,8,15,3,"WARNINGS Cardiac Failure Sympathetic stimulation may be essential for support of the circulation in individuals with diminished myocardial contractility, and its inhibition by β-adrenergic receptor blockade may precipitate more severe failure","Drug Interactions Catecholamine-depleting drugs, such as reserpine, may have an additive effect when given with β-blocking agents",ADVERSE REACTIONS Acebutolol is well tolerated in properly selected patients,"INDICATIONS AND USAGE Hypertension Acebutolol hydrochloride capsules, USP are indicated for the management of hypertension in adults"
acefylline,acebutolol,0.95,acebutolol,Acebutolol Hydrochloride,ACEBUTOLOL HYDROCHLORIDE,"ANI Pharmaceuticals, Inc. | Amneal Pharmaceuticals LLC | Golden State Medical Supply, Inc.",,10,8,15,3,"WARNINGS Cardiac Failure Sympathetic stimulation may be essential for support of the circulation in individuals with diminished myocardial contractility, and its inhibition by β-adrenergic receptor blockade may precipitate more severe failure","Drug Interactions Catecholamine-depleting drugs, such as reserpine, may have an additive effect when given with β-blocking agents",ADVERSE REACTIONS Acebutolol is well tolerated in properly selected patients,"INDICATIONS AND USAGE Hypertension Acebutolol hydrochloride capsules, USP are indicated for the management of hypertension in adults"
acetate,acetic acid,0.95,acetic acid,Acetic Acid | Endopan HP | GI Distress,"ACETIC ACID | ACETICUM ACIDUM, COLCHICUM AUTUMNALE, LACTICUM ACIDUM, LYCOPODIUM CLAVATUM, PHOSPHORICUM ACIDUM, PHOSPHORUS, SYZYGIUM JAMBOLANUM, URANIUM NITRICUM | ECHINACEA (ANGUSTIFOLIA), NATRUM PHOSPHORICUM, COLCHICUM AUTUMNALE, ARSENICUM ALBUM, COLOCYNTHIS, CROTON TIGLIUM, GAMBOGIA, ACETICUM ACIDUM, ANTIMONIUM CRUDUM, BISMUTHUM SUBNITRICUM, CINCHONA OFFICINALIS, FERRUM METALLICUM, IRIS VERSICOLOR, LAC DEFLORATUM, MERCURIUS VIVUS, NUX VOMICA, RICINUS COMMUNIS, VERATRUM ALBUM, COLIBACILLINUM CUM NATRUM MURIATICUM, PROTEUS (MIRABILIS)","Deseret Biologicals, Inc. | Energique, Inc. | TruPharma, LLC",,4,0,2,2,WARNINGS: Keep out of reach of children,,ADVERSE REACTIONS Stinging or burning may be noted occasionally; local irritation has occurred very rarely,"HOMEOPATHIC INDICATIONS: For the temporary relief of symptoms related to occasional watery diarrhea, irritation of stomach, indigestion, abdominal bloating, stomach cramps, and loss of appetite.** **These statements are based upon traditional homeopathic principles"
acetazolamide,acetazolamide,1.0,acetazolamide,Acetazolamide | acetazolamide,ACETAZOLAMIDE,A-S Medication Solutions | Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc. | Lifestar Pharma LLC,,4,0,4,2,"WARNINGS Fatalities have occurred, although rarely, due to severe reactions to sulfonamides including Stevens-Johnson syndrome, toxic epidermal necrolysis, fulminant hepatic necrosis, agranulocytosis, aplastic anemia, and other blood dyscrasias, and anaphylaxis",,"ADVERSE REACTIONS Body as a whole: Headache, malaise, fatigue, fever, pain at injection site, flushing, growth retardation in children, flaccid paralysis, anaphylaxis Digestive: Gastrointestinal disturbances such as nausea, vomiting, diarrhea Hematological/Lymphatic: Blood dyscrasias such as aplasti","INDICATIONS AND USAGE For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies (petit mal, unlocalized seizures); chronic simple (open-angle) glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where delay of surg"
acetic acid,acetic acid,0.99,acetic acid,Acetic Acid | Endopan HP | GI Distress,"ACETIC ACID | ACETICUM ACIDUM, COLCHICUM AUTUMNALE, LACTICUM ACIDUM, LYCOPODIUM CLAVATUM, PHOSPHORICUM ACIDUM, PHOSPHORUS, SYZYGIUM JAMBOLANUM, URANIUM NITRICUM | ECHINACEA (ANGUSTIFOLIA), NATRUM PHOSPHORICUM, COLCHICUM AUTUMNALE, ARSENICUM ALBUM, COLOCYNTHIS, CROTON TIGLIUM, GAMBOGIA, ACETICUM ACIDUM, ANTIMONIUM CRUDUM, BISMUTHUM SUBNITRICUM, CINCHONA OFFICINALIS, FERRUM METALLICUM, IRIS VERSICOLOR, LAC DEFLORATUM, MERCURIUS VIVUS, NUX VOMICA, RICINUS COMMUNIS, VERATRUM ALBUM, COLIBACILLINUM CUM NATRUM MURIATICUM, PROTEUS (MIRABILIS)","Deseret Biologicals, Inc. | Energique, Inc. | TruPharma, LLC",,4,0,2,2,WARNINGS: Keep out of reach of children,,ADVERSE REACTIONS Stinging or burning may be noted occasionally; local irritation has occurred very rarely,"HOMEOPATHIC INDICATIONS: For the temporary relief of symptoms related to occasional watery diarrhea, irritation of stomach, indigestion, abdominal bloating, stomach cramps, and loss of appetite.** **These statements are based upon traditional homeopathic principles"
acetyl hexapeptide,acetyl hexapeptide-8,0.95,acetyl hexapeptide-8,Anti-wrinkle eye cream | Qanskm Bee Venom Skin Cream | Stretch Marks cream,"EYE CREAM | SESAMUM INDICUM (SESAME) SEED EXTRACT,PRUNUS PERSICA (PEACH) RESIN EXTRACT,STERCULIA URENS GUM,TRIPEPTIDE-1,HEXAPEPTIDE-9,ACETYL TETRAPEPTIDE-9,PALMITOYL PENTAPEPTIDE-4,PALMITOYL TETRAPEPTIDE-7,ACETYL HEXAPEPTIDE-8. | SKIN CREAM","Guangzhou Senmai Biotechnology Co. | Guangzhou Yapeng Refinement Chemical Co., Ltd. | Shenzhen Zealous Ecommerce Technology Co., Ltd",,2,0,0,3,Warnings For external use only,,,"INDICATIONS & USAGE Stretch Marks cream,removes scars, repairs, and enhances skin elasticity"
acetyl l,acetylsalicylic acid,0.95,acetylsalicylic acid,Moisturizing Antibacterial | Naproxen,BENZALKONIUM CHLORIDE | NAPROXEN,A-S Medication Solutions | Walmart Inc.,,8,2,4,1,WARNINGS NOT FOR INJECTION,Drug Interactions: Specific drug interaction studies have not been conducted with ofloxacin ophthalmic solution,ADVERSE REACTIONS Ophthalmic use: The most frequently reported drug-related adverse reaction was transient ocular burning or discomfort,INDICATIONS AND USAGE Ofloxacin ophthalmic solution is indicated for the treatment of infections caused by susceptible strains of the following bacteria in the conditions listed below:
acetyl salicylic acid,aspirin,0.99,aspirin,Aspirin Low Dose | Low Dose Aspirin | Rapidol Aspirin,ASPIRIN,"ATLANTIC BIOLOGICALS CORP. | P & L Development, LLC | Pharmadel LLC",,8,0,0,3,Warnings Reye's syndrome : Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product,,,Uses for the temporary relief of minor aches and pains or as recommended by your doctor
acetylcholine,acetylcholine,0.99,acetylcholine,Acetylcholine Chloride Phenolic | Cerebromax | Neuro II,"ACETYLCHOLINE CHLORIDE, | ACETYLCHOLINE CHLORIDE, TAURINE, ADENOSINUM CYCLOPHOSPHORICUM, CEREBRUM SUIS, DIENCEPHALON (SUIS), PINEAL GLAND (SUIS), THALAMUS OPTICUS (SUIS), ADRENALINUM, DOPAMINE HYDROCHLORIDE, GABA (GAMMA-AMINOBUTYRIC ACID), NOREPINEPHRINE (BITARTRATE), SEROTONIN (HYDROCHLORIDE), TYRAMINE | TARAXACUM OFFICINALE, HYDRASTIS CANADENSIS, ACETYLCHOLINE CHLORIDE, HISTAMINUM HYDROCHLORICUM, ADRENALINUM, GABA (GAMMA-AMINOBUTYRIC ACID), NOREPINEPHRINE (BITARTRATE), TYRAMINE","Deseret Biologicals, Inc. | Energique, Inc.",,5,0,0,3,"WARNINGS: If pregnant or breast-feeding, ask a health professional before use",,,"INDICATIONS: May temporarily relieve symptoms associated with reactions to actylcholine chloride, such as chest congestion with mild constriction"
acetylcistein,acetylcysteine,0.98,acetylcysteine,Acetylcysteine | Folcyteine,ACETYLCYSTEINE | MULTIVITAMIN,ONESOURCE SPECIALTY PHARMA LIMITED | PureTek Corporation | Sagent Pharmaceuticals,,0,0,3,2,,,Adverse Reactions: Allergic sensitization has been reported following both oral and parenteral administration of folic acid,Indications and Usage: Folcyteine™ is indicated to provide vitamin supplement to men and women
acetylcysteine,acetylcysteine,0.99,acetylcysteine,Acetylcysteine | Folcyteine,ACETYLCYSTEINE | MULTIVITAMIN,ONESOURCE SPECIALTY PHARMA LIMITED | PureTek Corporation | Sagent Pharmaceuticals,,0,0,3,2,,,Adverse Reactions: Allergic sensitization has been reported following both oral and parenteral administration of folic acid,Indications and Usage: Folcyteine™ is indicated to provide vitamin supplement to men and women
acetylcystiene,acetylcysteine,0.98,acetylcysteine,Acetylcysteine | Folcyteine,ACETYLCYSTEINE | MULTIVITAMIN,ONESOURCE SPECIALTY PHARMA LIMITED | PureTek Corporation | Sagent Pharmaceuticals,,0,0,3,2,,,Adverse Reactions: Allergic sensitization has been reported following both oral and parenteral administration of folic acid,Indications and Usage: Folcyteine™ is indicated to provide vitamin supplement to men and women
acetylsalicylate,aspirin,0.95,aspirin,Aspirin Low Dose | Low Dose Aspirin | Rapidol Aspirin,ASPIRIN,"ATLANTIC BIOLOGICALS CORP. | P & L Development, LLC | Pharmadel LLC",,8,0,0,3,Warnings Reye's syndrome : Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product,,,Uses for the temporary relief of minor aches and pains or as recommended by your doctor
acetylsalicylic acid,aspirin,0.99,aspirin,Aspirin Low Dose | Low Dose Aspirin | Rapidol Aspirin,ASPIRIN,"ATLANTIC BIOLOGICALS CORP. | P & L Development, LLC | Pharmadel LLC",,8,0,0,3,Warnings Reye's syndrome : Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product,,,Uses for the temporary relief of minor aches and pains or as recommended by your doctor
acitretin,acitretin,0.99,acitretin,ACITRETIN | Acitretin,ACITRETIN,Alembic Pharmaceuticals Inc. | Bryant Ranch Prepack,,10,10,15,5,"WARNINGS ( See also boxed CONTRAINDICATIONS AND WARNINGS .) Hepatotoxicity: Of the 525 subjects treated in US clinical trials, 2 had clinical jaundice with elevated serum bilirubin and transaminases considered related to treatment with acitretin","Pharmacokinetic Drug Interactions (see also boxed CONTRAINDICATIONS AND WARNINGS and PRECAUTIONS : Drug Interactions ): In studies of in vivo pharmacokinetic drug interactions, no interaction was seen between acitretin and cimetidine, digoxin, phenprocoumon, or glyburide","ADVERSE REACTIONS Hypervitaminosis A produces a wide spectrum of signs and symptoms primarily of the mucocutaneous, musculoskeletal, hepatic, neuropsychiatric, and central nervous systems","INDICATIONS AND USAGE Acitretin Capsules, USP are indicated for the treatment of severe psoriasis in adults"
acitretine,acitretin,0.99,acitretin,ACITRETIN | Acitretin,ACITRETIN,Alembic Pharmaceuticals Inc. | Bryant Ranch Prepack,,10,10,15,5,"WARNINGS ( See also boxed CONTRAINDICATIONS AND WARNINGS .) Hepatotoxicity: Of the 525 subjects treated in US clinical trials, 2 had clinical jaundice with elevated serum bilirubin and transaminases considered related to treatment with acitretin","Pharmacokinetic Drug Interactions (see also boxed CONTRAINDICATIONS AND WARNINGS and PRECAUTIONS : Drug Interactions ): In studies of in vivo pharmacokinetic drug interactions, no interaction was seen between acitretin and cimetidine, digoxin, phenprocoumon, or glyburide","ADVERSE REACTIONS Hypervitaminosis A produces a wide spectrum of signs and symptoms primarily of the mucocutaneous, musculoskeletal, hepatic, neuropsychiatric, and central nervous systems","INDICATIONS AND USAGE Acitretin Capsules, USP are indicated for the treatment of severe psoriasis in adults"
acrylate,acrylate,0.95,acrylate,Anubis Barcelona,DMAE,ANUBIS COSMETICS SL,,1,0,0,1,SUBLIME D-LIFT DMAE Lift Serum warnings,,,SUBLIME D-LIFT DMAE Lift Serum ind
acrylates copolymer,acrylates copolymer,0.99,acrylates copolymer,ENTRESTO | tamsulosin hydrochloride,SACUBITRIL AND VALSARTAN | TAMSULOSIN HYDROCHLORIDE,"Novartis Pharmaceuticals Corporation | XLCare Pharmaceuticals, Inc.",,4,10,10,1,Warnings: For external use only,7 DRUG INTERACTIONS,"6 ADVERSE REACTIONS The most common adverse events (≥2% of patients and at a higher incidence than placebo) with the 0.4 mg dose or 0.8 mg dose were headache, dizziness, rhinitis, infection, abnormal ejaculation, asthenia, back pain, diarrhea, pharyngitis, chest pain, cough increased, somnolence, na",Directions: Acne Clearing Cleanser Acne Clearing Tonic Acne Clearing Treatment 101
acyclovir,acyclovir,1.0,acyclovir,ACYCLOVIR | Acyclovir,ACYCLOVIR,American Health Packaging | Bryant Ranch Prepack,,3,1,13,3,WARNINGS Acyclovir capsules are intended for oral ingestion only,Drug Interactions: See CLINICAL PHARMACOLOGY: Pharmacokinetics ,ADVERSE REACTIONS Herpes Simplex: Short-Term Administration: The most frequent adverse events reported during clinical trials of treatment of genital herpes with acyclovir 200 mg administered orally 5 times daily every 4 hours for 10 days were nausea and/or vomiting in 8 of 298 patient treatments (2,INDICATIONS AND USAGE Herpes Zoster Infections : Acyclovir is indicated for the acute treatment of herpes zoster (shingles)
adalimumab,adalimumab,1.0,adalimumab,Adalimumab | HYRIMOZ,ADALIMUMAB-ADAZ,Cordavis Limited | Sandoz Inc,,0,10,15,5,,7 DRUG INTERACTIONS,6 ADVERSE REACTIONS The following clinically significant adverse reactions are described elsewhere in the labeling:,1 INDICATIONS AND USAGE HYRIMOZ is a tumor necrosis factor (TNF)-blocker indicated for:
adapalene,adapalene,1.0,adapalene,"Adapalene and Benzoyl Peroxide Gel, 0.1%/2.5% | Adapalene and benzoyl peroxide | Neutrogena Adapalene 0.1% Acne Treatment","ADAPALENE | ADAPALENE AND BENZOYL PEROXIDE | ADAPALENE AND BENZOYL PEROXIDE GEL, 0.1%/2.5%","Bryant Ranch Prepack | Kenvue Brands LLC | Teva Pharmaceuticals, Inc.",,6,2,8,2,"Warnings For external use only Do not use ▪on damaged skin (cuts, abrasions, eczema, sunburn) ▪ if you are allergic to adapalene or any of the ingredients in this product If pregnant or breast-feeding, ask a doctor before use","7 DRUG INTERACTIONS Concomitant topical acne therapy should be used with caution because a possible cumulative irritancy effect may occur, especially with the use of peeling, desquamating, or abrasive agents","6 ADVERSE REACTIONS Most commonly reported adverse events (≥1%) in patients treated with adapalene and benzoyl peroxide gel 0.1% / 2.5% were dry skin, contact dermatitis, application site burning, application site irritation and skin irritation",1 INDICATIONS AND USAGE Adapalene and benzoyl peroxide gel 0.1% / 2.5% is indicated for the topical treatment of acne vulgaris in patients 9 years of age and older
adefovir,adefovir,0.99,adefovir,ADEFOVIR DIPIVOXIL | Adefovir dipivoxil,ADEFOVIR DIPIVOXIL,"Apotex Corp. | Sigmapharm Laboratories, LLC",,0,5,11,5,,"7 DRUG INTERACTIONS Since adefovir is eliminated by the kidney, coadministration of adefovir dipivoxil with drugs that reduce renal function or compete for active tubular secretion may increase serum concentrations of either adefovir and/or these coadministered drugs [See Clinical Pharmacology ( 12.","6 ADVERSE REACTIONS The following adverse reactions are discussed in other sections of the labeling: Severe acute exacerbations of Hepatitis [ S ee Boxed Warning , Warnings and Precautions (5.1) ] Nephrotoxicity [See Boxed Warning , Warnings and Precautions (5.2) ] Most common adverse reaction (inci",1 INDICATIONS AND USAGE Adefovir dipivoxil tablets are indicated for the treatment of chronic hepatitis B in patients 12 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active dise
adenosine,adenosine,0.99,adenosine,COXIR INTENSIVE EGF PEPTIDE SERUM | PETITCOCHON TONE UP BODY SUN | Reoganic EX Whitening Pore Care Deodorant,"ADENOSINE, NIACINAMIDE | ARBUTIN, NIACINAMIDE, ADENOSINE | NIACINAMIDE, ADENOSINE","LAON COMMERCE co ltd | NOKSIBCHO cosmetic Co., Ltd.",,4,0,0,1,Precautions when using 1,,,"How to use; At the last stage of basic care, apply an appropriate amount to the face, neck, arms, and legs that are easily exposed to UV rays"
adenosine triphosphate,adenosine triphosphate,0.99,adenosine triphosphate,Bact Combination | Lymph III | Prostate,"ADENOSINUM TRIPHOSPHORICUM DINATRUM, CINNAMIC ACID, COLIBACILLINUM CUM NATRUM MURIATICUM, STREPTOCOCCUS BOVIS DNA, DYSENTERY BACILLUS, ECHINACEA (ANGUSTIFOLIA), ENTEROCOCCUS FAECALIS, HELICOBACTER PYLORI, HELICOBACTER PYLORI DNA, LEGIONELLA PNEUMOPHILA, LISTERIA MONOCYTOGENES, MALICUM ACIDUM, MYCOPLASMA PNEUMONIAE, NATRUM OXALACETICUM, OROTICUM ACIDUM, PETROSELINUM SATIVUM, PNEUMOCOCCINUM, PROTEUS (MIRABILIS), PROTEUS (MORGANI), PROTEUS (VULGARIS), PSEUDOMONAS AERUGINOSA, RIBOFLAVINUM, | ECHINACEA (ANGUSTIFOLIA), BOLDO, PHYTOLACCA DECANDRA, PINUS SYLVESTRIS, THYROIDINUM (SUIS), GERMANIUM SESQUIOXIDE, ARNICA MONTANA, CALCAREA IODATA, HAMAMELIS VIRGINIANA, HEPAR SULPHURIS CALCAREUM, ADENOSINUM TRIPHOSPHORICUM DINATRUM, UBIDECARENONUM, NAJA TRIPUDIANS, CALCAREA PHOSPHORICA, NATRUM SULPHURICUM, PYROGENIUM, SULPHUR, CARCINOSIN, INFLUENZINUM (2023-2024) | PETROSELINUM SATIVUM, POPULUS TREMULOIDES, SABAL SERRULATA, CHIMAPHILA UMBELLATA, ADENOSINUM TRIPHOSPHORICUM DINATRUM, EQUOL, KREOSOTUM, NADIDUM, TESTOSTERONE, PROSTATE (SUIS), SUCCINICUM ACIDUM, HEPAR SULPHURIS CALCAREUM, CONIUM MACULATUM, PROTEUS (MIRABILIS), PROTEUS (VULGARIS)","BioActive Nutritional, Inc. | Deseret Biologicals, Inc.",,4,0,0,2,WARNINGS: Keep out of reach of children,,,HOMEOPATHIC INDICATIONS: For temporary relief of the symptoms of prostate issues including weak stream and frequent urination.** **These statements are based upon homeopathic principles
