ingredient,canonical_name,groq_confidence,fda_search_term,brand_names,generic_names,manufacturers,dosage_forms,warnings_count,interactions_count,adverse_count,indications_count,first_warning,first_interaction,first_adverse,first_indication
esketamine,esketamine,1.0,esketamine,Spravato,ESKETAMINE HYDROCHLORIDE,Janssen Pharmaceuticals Inc.,,0,6,7,5,,"7 DRUG INTERACTIONS 7.1 Central Nervous System Depressants Concomitant use with CNS depressants (e.g., benzodiazepines, opioids, alcohol) may increase sedation [see Warnings and Precautions (5.1) ] ",6 ADVERSE REACTIONS The following adverse reactions are discussed in more detail in other sections of the labeling: Sedation [see Warnings and Precautions (5.1) ] Dissociation [see Warnings and Precautions (5.2) ] Respiratory Depression [see Warnings and Precautions (5.3) ] Increase in Blood Pressur,1 INDICATIONS AND USAGE SPRAVATO is indicated for the treatment of: Treatment-resistant depression (TRD) in adults as monotherapy or in conjunction with an oral antidepressant Depressive symptoms in adults with major depressive disorder (MDD) with acute suicidal ideation or behavior in conjunction w
eslicarbazepine,eslicarbazepine,1.0,eslicarbazepine,Eslicarbazepine Acetate,ESLICARBAZEPINE ACETATE,"Apotex Corp. | Ascend Laboratories, LLC | Dr.Reddys Laboratories Inc",,0,10,15,2,,7 DRUG INTERACTIONS,6 ADVERSE REACTIONS The following adverse reactions are described in more detail in the Warnings and Precautions section of the label:,1 INDICATIONS AND USAGE Eslicarbazepine acetate tablets are indicated for the treatment of partial-onset seizures in patients 4 years of age and older
esmolol,esmolol,1.0,esmolol,Esmolol Hydrochloride | esmolol hydrochloride in sodium chloride,ESMOLOL HYDROCHLORIDE | ESMOLOL HYDROCHLORIDE IN SODIUM CHLORIDE,Gland Pharma Limited | Mylan Institutional LLC | REMEDYREPACK INC.,,0,10,9,5,,"7 DRUG INTERACTIONS Concomitant use of esmolol hydrochloride injection with other drugs that can lower blood pressure, reduce myocardial contractility, or interfere with sinus node function or electrical impulse propagation in the myocardium can exaggerate esmolol hydrochloride injection’s effects o","6 ADVERSE REACTIONS Most common adverse reactions (incidence >10%) are symptomatic hypotension (hyperhidrosis, dizziness) and asymptomatic hypotension ( 6 ) To report SUSPECTED ADVERSE REACTIONS, contact Gland Pharma at 864-879-9994 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch",1 INDICATIONS AND USAGE Esmolol hydrochloride injection is a beta adrenergic blocker indicated for the short-term treatment of: Control of ventricular rate in supraventricular tachycardia including atrial fibrillation and atrial flutter and control of heart rate in noncompensatory sinus tachycardia 
esmoprazole,esomeprazole,0.99,esomeprazole,Acid Reducer | Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM,A-S Medication Solutions | Bryant Ranch Prepack | CVS Pharmacy,,3,10,8,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with esomeprazole and instructions for preventing or managing them,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Acute Tubulointerstitial Nephritis [see Warnings and Precautions (5.2) ] Clostridium difficile -Associated Diarrhea [see Warnings and Precautions (5.3) ] Bone Fracture [see Warnings and Precaut,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
esomeprazol,esomeprazole,0.99,esomeprazole,Acid Reducer | Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM,A-S Medication Solutions | Bryant Ranch Prepack | CVS Pharmacy,,3,10,8,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with esomeprazole and instructions for preventing or managing them,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Acute Tubulointerstitial Nephritis [see Warnings and Precautions (5.2) ] Clostridium difficile -Associated Diarrhea [see Warnings and Precautions (5.3) ] Bone Fracture [see Warnings and Precaut,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
esomeprazole,esomeprazole,0.95,esomeprazole,Acid Reducer | Esomeprazole Magnesium,ESOMEPRAZOLE MAGNESIUM,A-S Medication Solutions | Bryant Ranch Prepack | CVS Pharmacy,,3,10,8,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with esomeprazole and instructions for preventing or managing them,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Acute Tubulointerstitial Nephritis [see Warnings and Precautions (5.2) ] Clostridium difficile -Associated Diarrhea [see Warnings and Precautions (5.3) ] Bone Fracture [see Warnings and Precaut,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
estradiol,estradiol,0.95,estradiol,Estradiol | Estradiol Vaginal,ESTRADIOL,A-S Medication Solutions | Alvogen Inc. | Direct_Rx,,10,10,13,1,WARNINGS See BOXED WARNINGS ,Drug-Laboratory Test Interactions 1,"ADVERSE REACTIONS See BOXED WARNINGS, WARNINGS and PRECAUTIONS ","INDICATIONS AND USAGE Estradiol Vaginal Cream, 0.01% is indicated in the treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause"
estradiol valerate,estradiol valerate,0.99,estradiol valerate,ESTRADIOL VALERATE | Estradiol Valerate | Estradiol valerate,ESTRADIOL VALERATE,"American Regent, Inc. | Hikma Pharmaceuticals USA Inc. | Xiromed, LLC",,10,5,12,5,WARNINGS See BOXED WARNINGS,Drug Interactions In vitro and in vivo studies have shown that estrogens are metabolized partially by cytochrome P450 3A4 (CYP3A4),"ADVERSE REACTIONS See BOXED WARNINGS, WARNINGS , and PRECAUTIONS ",INDICATIONS AND USAGE Estradiol Valerate Injection is indicated in the: 1
estre c,estradiol,0.95,estradiol,Estradiol | Estradiol Vaginal,ESTRADIOL,A-S Medication Solutions | Alvogen Inc. | Direct_Rx,,10,10,13,1,WARNINGS See BOXED WARNINGS ,Drug-Laboratory Test Interactions 1,"ADVERSE REACTIONS See BOXED WARNINGS, WARNINGS and PRECAUTIONS ","INDICATIONS AND USAGE Estradiol Vaginal Cream, 0.01% is indicated in the treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause"
estriol,estradiol,0.99,estradiol,Estradiol | Estradiol Vaginal,ESTRADIOL,A-S Medication Solutions | Alvogen Inc. | Direct_Rx,,10,10,13,1,WARNINGS See BOXED WARNINGS ,Drug-Laboratory Test Interactions 1,"ADVERSE REACTIONS See BOXED WARNINGS, WARNINGS and PRECAUTIONS ","INDICATIONS AND USAGE Estradiol Vaginal Cream, 0.01% is indicated in the treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause"
