ingredient,canonical_name,groq_confidence,fda_search_term,brand_names,generic_names,manufacturers,dosage_forms,warnings_count,interactions_count,adverse_count,indications_count,first_warning,first_interaction,first_adverse,first_indication
dexchlorpheniramine maleate,dexchlorpheniramine,0.99,dexchlorpheniramine maleate,Corphena | VanaCof 2 | WesTussin DM,"CHLOPHEDIANOL HCL, DEXCHLORPHENIRAMINE MALEATE | DEXCHLORPHENIRAMINE MALEATE | DEXCHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL","BluCrest Pharmaceuticals LLC | GM Pharmaceuticals, INC | Westminster Pharmaceuticals, LLC",,5,1,11,1,"Warnings Ask a doctor before use if you have ■ a cough that lasts or is chronic such as occurs with smoking, asthma, or emphysema ■ a cough that occurs with too much phlegm (mucus) ■ a breathing problem such as emphysema or chronic bronchitis ■ trouble urinating due to an enlarged prostate gland ■ g",Drug Interaction MAO inhibitors prolong and intensify the anticholinergic (drying) effects of antihistamines,"ADVERSE REACTIONS General: Urticaria, drug rash, anaphylactic shock, photosensitivity, excessive perspiration, chills, dryness of mouth, nose and the throat","Uses ■ temporarily relieves these symptoms due to the common cold, hay fever (allergic rhinitis) or other upper respiratory allergies: ■ runny nose ■ sneezing ■ itching of the nose or throat ■ itchy, watery eyes ■ cough due to minor throat and bronchial irritation"
dexlansoprazole,dexlansoprazole,1.0,dexlansoprazole,Dexlansoprazole | Dexlansoprazole delayed release,DEXLANSOPRAZOLE,Alembic Pharmaceuticals Limited | Bryant Ranch Prepack,,0,10,15,5,,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with dexlansoprazole and instructions for preventing or managing them,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling:,1 INDICATIONS AND USAGE Dexlansoprazole delayed-release capsules are a proton pump inhibitor (PPI) indicated in patients 12 years of age and older for:
dexmedetomidine,dexmedetomidine,1.0,dexmedetomidine,Dexmedetomidine | Dexmedetomidine Hydrochloride | Dexmedetomidine in Dextrose,DEXMEDETOMIDINE | DEXMEDETOMIDINE HYDROCHLORIDE,"Fresenius Kabi USA, LLC | Medical Purchasing Solutions, LLC | WG Critical Care, LLC",,0,7,14,5,,"7 DRUG INTERACTIONS Anesthetics, Sedatives, Hypnotics, Opioids: Enhancement of pharmacodynamic effects",6 ADVERSE REACTIONS The following clinically significant adverse reactions are described elsewhere in the labeling:,1 INDICATIONS AND USAGE Dexmedetomidine Injection and Dexmedetomidine in 5% Dextrose Injection is a alpha 2 adrenergic receptor agonist indicated for:
dexpanthenol,dexpanthenol,0.95,dexpanthenol,BABYSONS | Pediatric Infuvite Multiple Vitamins | Vitamin B Complex,"ASCORBIC ACID, VITAMIN A PALMITATE, CHOLECALCIFEROL, THIAMINE HYDROCHLORIDE, RIBOFLAVIN-5 PHOSPHATE SODIUM, PYRIDOXINE HYDROCHLORIDE, NIACINAMIDE, DEXPANTHENOL, ALPHA-TOCOPHEROL ACETATE, VITAMIN K1, FOLIC ACID, BIOTIN, CYANOCOBALAMIN | DEXPANTHENOL | THIAMINE HYDROCHLORIDE, RIBOFLAVIN 5 PHOSPHATE SODIUM, DEXPANTHENOL AND NIACINAMIDE","Laboratorios Quimica Son's, S.A. de C.V | Mylan Institutional LLC | Sandoz Inc",,3,10,4,2,WARNINGS Anaphylactogenesis may occur with parenteral thiamine,7 DRUG INTERACTIONS A number of interactions between vitamins and drugs have been reported,"ADVERSE REACTIONS Mild transient diarrhea, polycythemia vera, peripheral vascular thrombosis, itching transitory exanthema, feeling of swelling of entire body, anaphylactic shock and death","INDICATIONS AND USAGE In disorders requiring parenteral administration of vitamins, i.e"
dexrazoxane,dexrazoxane,1.0,dexrazoxane,Dexrazoxane,DEXRAZOXANE | DEXRAZOXANE FOR INJECTION,"Almaject, Inc. | Hikma Pharmaceuticals USA Inc. | Novadoz Pharmaceuticals LLC",,0,1,14,4,,7 DRUG INTERACTIONS No drug interactions have been identified [see Clinical Pharmacology (12.3) ] ,"6 ADVERSE REACTIONS In clinical studies, dexrazoxane for injection was administered to patients also receiving chemotherapeutic agents for cancer",1 INDICATIONS AND USAGE Dexrazoxane for injection is indicated for reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin dose of 300 mg/m 2 and who will continue to receive do
dextran,dextran,0.99,dextran,Colirio Ocusan | GoodSense Eye Drops Advanced Relief Moisturizer | Sunmark Eye Drops Advanced Moisturizer/Lubricant,"DEXTRAN, POLYETHYLENE GLYCOL 400, POVIDONE, TETRAHYDROZOLINE | DEXTRAN, POLYETHYLENE GLYCOL 400, POVIDONE, TETRAHYDROZOLINE HCL | TETRAHYDROZOLINE HYDROCHLORIDE, POLYETHYLENE GLYCOL 400, POVIDONE, UNSPECIFIED, AND DEXTRAN 70","DLC Laboratories, Inc. | Preferred PHarmaceuticals Inc. | Strategic Sourcing Services LLC",,10,0,0,2,Warnings For external use only Ask a doctor before use if you have narrow angle glaucoma Stop use and ask a doctor if you experience,,,relieves redness of the eye due to minor eye irritations
dextrometh,dextromethorphan,0.95,dextromethorphan,Daytime Cold and Flu | Rompe Pechito DM for Kids | basic care daytime severe cold and flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL | ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE | DEXTROMETHORPHAN HBR, GUAIFENESIN",Amazon.com Services LLC | Efficient Laboratories Inc | Family Dollar (FAMILY WELLNESS),,10,0,0,1,Warnings Liver warning: This product contains acetaminophen,,,Uses temporarily relieves these symptoms due to a cold minor aches and pains headache nasal and sinus congestion sore throat cough due to minor throat and bronchial irritation temporarily reduces fever
dextromethorphan,dextromethorphan,0.95,dextromethorphan,Daytime Cold and Flu | Rompe Pechito DM for Kids | basic care daytime severe cold and flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL | ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE | DEXTROMETHORPHAN HBR, GUAIFENESIN",Amazon.com Services LLC | Efficient Laboratories Inc | Family Dollar (FAMILY WELLNESS),,10,0,0,1,Warnings Liver warning: This product contains acetaminophen,,,Uses temporarily relieves these symptoms due to a cold minor aches and pains headache nasal and sinus congestion sore throat cough due to minor throat and bronchial irritation temporarily reduces fever
dextromethorphan hydrobromide,dextromethorphan,0.99,dextromethorphan,Daytime Cold and Flu | Rompe Pechito DM for Kids | basic care daytime severe cold and flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL | ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE | DEXTROMETHORPHAN HBR, GUAIFENESIN",Amazon.com Services LLC | Efficient Laboratories Inc | Family Dollar (FAMILY WELLNESS),,10,0,0,1,Warnings Liver warning: This product contains acetaminophen,,,Uses temporarily relieves these symptoms due to a cold minor aches and pains headache nasal and sinus congestion sore throat cough due to minor throat and bronchial irritation temporarily reduces fever
dextrose,glucose,0.95,glucose,Discount Drug Mart nausea control Cherry Flavor | Glucose Drops 2031 | The Melanin Skin Protectant Cream,"DEXTROSE(GLUCOSE),LEVULOSE(FRUCTOSE),PHOSPHORIC ACID | GLUCOSE DROPS | PURIFIED WATER, GLYCERIN, PROPYLENE GLYCOL, LAUROCAPRAM, NIACINAMIDE, XANTHAN GUM, BUTYLENE GLYCOL, TOCOPHEROL, CETEARYL ALCOHOL, ISOHEXADECANE, ETHYLHEXYL PALMITATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, HYDROGENATED LECITHIN, CETEARYL GLUCOSIDE, POLYACRYLAMIDE, C13-14 ISOPARAFFIN, 1,2-HEXANEDIOL, DISODIUM EDTA, ERGOTHIONEINE, SELAGINELLA TAMARISCINA EXTRACT, ETHYLHEXYLGLYCERIN, GLUCOSE, FRAGRANCE, GINKGO BILOBA LEAF EXTRACT, PRUNELLA VULGAIRS EXTRACT, CROTON LECHLERI RESIN EXTRACT","DISCOUNT DRUG MART | Professional Complementary Health Formulas | Reedfresh Co., LTD",,5,0,0,1,Warnings this product contains fructose and should not be taken by persons with hereditary fructose intolerance (HFI),,,Uses for relief of upset stomach associated with nausea
dhea,dehydroepiandrosterone,0.98,dehydroepiandrosterone,Hormone Combination | Hormone Harmony | Professional Weight Support,"ACETALDEHYDE, DOPAMINE HYDROCHLORIDE, DHEA (DEHYDROEPIANDROSTERONE), 7-OXO- DEHYDROEPIANDROSTERONE 3-ACETATE, FOLLICULINUM, OOPHORINUM (SUIS), CHOLESTERINUM, PROGESTERONE, TESTOSTERONE, CORTISONE ACETICUM, ALDOSTERONE, ANDROSTERONE, FOLLICLE STIMULATING HORMONE | ASCLEPIAS VINCETOXICUM, ECHINACEA (ANGUSTIFOLIA), HYPOTHALAMUS (SUIS), HEPAR SUIS, KIDNEY (SUIS), METHYLCOBALAMIN, GAMBOGIA, GRAPHITES, NUX VOMICA, PHYTOLACCA DECANDRA, 7-OXO-DEHYDROEPIANDROSTERONE 3B-ACETATE, ADENOSINUM TRIPHOSPHORICUM DINATRUM, INSULINUM (HUMAN), PANCREAS SUIS, SARCOLACTICUM ACIDUM, PROTEUS (VULGARIS)","Deseret Biologicals | Deseret Biologicals, Inc. | Pro Weight Loss Inc.",,5,0,0,2,WARNINGS: Keep out of reach of children,,,"HOMEOPATHIC INDICATIONS: Temporary relief of symptoms related to hormone imbalances of insufficiencies in men and women, including low energy, inability to handle stress, trouble focusing, changes in mood, infertility, irregular menstrual cycles (females), and lack of libido.** **These statements ar"
di methicone,dimethicone,0.98,dimethicone,Baby XtraCare Oatmeal | Gas Relief Ultra Strength,DIMETHICONE | SIMETHICONE,Rejoice International | Walgreens,,5,0,0,1,Warnings For extenal use only,,,Baby XtraCare® Oatmeal Daily Moisturizing Lotion Lightly Scented Dimethicon Skin Protectant with Natural Oat Extract Helps Soothe & Soften Baby's Skin 12 FL OZ (354 mL)
diatrizoate meglumine,diatrizoate,0.99,diatrizoate,Cystografin | Diatrizoate Meglumine and Diatrizoate Sodium | Gastrografin,DIATRIZOATE MEGLUMINE | DIATRIZOATE MEGLUMINE AND DIATRIZOATE SODIUM,"BRACCO DIAGNOSTICS INC | Bracco Diagnostics Inc | Camber Pharmaceuticals, Inc.",,2,0,6,1,"WARNINGS Severe sensitivity reactions are more likely to occur in patients with a personal or family history of bronchial asthma, significant allergies, or previous reactions to contrast agents",,"ADVERSE REACTIONS Retrograde genitourinary procedures may cause such complications as hematuria, perforation of the urethra or bladder, introduction of infection into the genitourinary tract, and oliguria or anuria",INDICATION Cystografin is indicated for retrograde cystourethrography
diatrizoate sodium,diatrizoate,0.99,diatrizoate,Cystografin | Diatrizoate Meglumine and Diatrizoate Sodium | Gastrografin,DIATRIZOATE MEGLUMINE | DIATRIZOATE MEGLUMINE AND DIATRIZOATE SODIUM,"BRACCO DIAGNOSTICS INC | Bracco Diagnostics Inc | Camber Pharmaceuticals, Inc.",,2,0,6,1,"WARNINGS Severe sensitivity reactions are more likely to occur in patients with a personal or family history of bronchial asthma, significant allergies, or previous reactions to contrast agents",,"ADVERSE REACTIONS Retrograde genitourinary procedures may cause such complications as hematuria, perforation of the urethra or bladder, introduction of infection into the genitourinary tract, and oliguria or anuria",INDICATION Cystografin is indicated for retrograde cystourethrography
diazepam,diazepam,0.95,diazepam,Diazepam,DIAZEPAM,A-S Medication Solutions | Bryant Ranch Prepack,,10,10,11,5,"WARNINGS Risks from Concomitant Use with Opioids Concomitant use of benzodiazepiones, including diazepam tablets, and opioids may result in profound sedation, respiratory depression, coma, and death",Drug Interactions Opioids The concomitant use of benzodiazepines and opioids increases the risk of respiratory depression because of actions at different receptor sites in the CNS that control respiration,"ADVERSE REACTIONS Side effects most commonly reported were drowsiness, fatigue, muscle weakness, and ataxia",INDICATIONS AND USAGE Diazepam tablets are indicated for the management of anxiety disorders or for the short-term relief of the symptoms of anxiety
diazolidinyl urea,diazolidinyl urea,0.99,diazolidinyl urea,Medi Fect Antiseptic Hand Wash,ETHYL ALCOHOL,Medical Chemical Corporation,,6,0,0,3,"Warnings: Flammable, keep away from fire or flame",,,Indications for use: For hospital and professional use only
diclofenac,diclofenac,0.95,diclofenac,ARTHRITIS PAIN RELIEVER | Diclofenac Sodium | Diclofenac sodium,DICLOFENAC SODIUM,"Alembic Pharmaceuticals Inc. | H E B | NuCare Pharmaceuticals,Inc.",,10,9,9,2,"Warnings For external use only Allergy alert: Diclofenac may cause a severe allergic reaction, especially in people allergic to aspirin",7 DRUG INTERACTIONS See Table 3 for clinically significant drug interactions with diclofenac,"6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling: Cardiovascular Thrombotic Events [ see Warnings and Precautions ( 5.1 ) ] GI Bleeding, Ulceration and Perforation [ see Warnings and Precautions ( 5.2 ) ] Hepatotoxicity [ see Warni","Uses for the temporary relief of arthritis pain ONLY in the following areas: hand, wrist, elbow (upper body areas) foot, ankle, knee (lower body areas) this product may take up to 7 days to work for arthritis pain; it is not for immediate relief"
diclofenac diethylamine,diclofenac,0.99,diclofenac,ARTHRITIS PAIN RELIEVER | Diclofenac Sodium | Diclofenac sodium,DICLOFENAC SODIUM,"Alembic Pharmaceuticals Inc. | H E B | NuCare Pharmaceuticals,Inc.",,10,9,9,2,"Warnings For external use only Allergy alert: Diclofenac may cause a severe allergic reaction, especially in people allergic to aspirin",7 DRUG INTERACTIONS See Table 3 for clinically significant drug interactions with diclofenac,"6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling: Cardiovascular Thrombotic Events [ see Warnings and Precautions ( 5.1 ) ] GI Bleeding, Ulceration and Perforation [ see Warnings and Precautions ( 5.2 ) ] Hepatotoxicity [ see Warni","Uses for the temporary relief of arthritis pain ONLY in the following areas: hand, wrist, elbow (upper body areas) foot, ankle, knee (lower body areas) this product may take up to 7 days to work for arthritis pain; it is not for immediate relief"
diclofenac potassium,diclofenac,0.99,diclofenac,ARTHRITIS PAIN RELIEVER | Diclofenac Sodium | Diclofenac sodium,DICLOFENAC SODIUM,"Alembic Pharmaceuticals Inc. | H E B | NuCare Pharmaceuticals,Inc.",,10,9,9,2,"Warnings For external use only Allergy alert: Diclofenac may cause a severe allergic reaction, especially in people allergic to aspirin",7 DRUG INTERACTIONS See Table 3 for clinically significant drug interactions with diclofenac,"6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling: Cardiovascular Thrombotic Events [ see Warnings and Precautions ( 5.1 ) ] GI Bleeding, Ulceration and Perforation [ see Warnings and Precautions ( 5.2 ) ] Hepatotoxicity [ see Warni","Uses for the temporary relief of arthritis pain ONLY in the following areas: hand, wrist, elbow (upper body areas) foot, ankle, knee (lower body areas) this product may take up to 7 days to work for arthritis pain; it is not for immediate relief"
diclofenac sodium,diclofenac,0.99,diclofenac,ARTHRITIS PAIN RELIEVER | Diclofenac Sodium | Diclofenac sodium,DICLOFENAC SODIUM,"Alembic Pharmaceuticals Inc. | H E B | NuCare Pharmaceuticals,Inc.",,10,9,9,2,"Warnings For external use only Allergy alert: Diclofenac may cause a severe allergic reaction, especially in people allergic to aspirin",7 DRUG INTERACTIONS See Table 3 for clinically significant drug interactions with diclofenac,"6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling: Cardiovascular Thrombotic Events [ see Warnings and Precautions ( 5.1 ) ] GI Bleeding, Ulceration and Perforation [ see Warnings and Precautions ( 5.2 ) ] Hepatotoxicity [ see Warni","Uses for the temporary relief of arthritis pain ONLY in the following areas: hand, wrist, elbow (upper body areas) foot, ankle, knee (lower body areas) this product may take up to 7 days to work for arthritis pain; it is not for immediate relief"
dicloxacillin,dicloxacillin,0.99,dicloxacillin,Dicloxacillin Sodium,DICLOXACILLIN SODIUM,"A-S Medication Solutions | Bryant Ranch Prepack | PD-Rx Pharmaceuticals, Inc.",,10,8,14,5,WARNINGS Serious and occasionally fatal hypersensitivity (anaphylactic shock with collapse) reactions have occurred in patients receiving penicillin,"Drug Interactions Tetracycline, a bacteriostatic antibiotic, may antagonize the bactericidal effect of penicillin and concurrent use of these drugs should be avoided",ADVERSE REACTIONS Hypersensitive Reactions The reported incidence of allergic reactions to penicillin ranges from 0.7% to 10% (see WARNINGS ),"INDICATIONS AND USAGE To reduce the development of drug-resistant bacteria and maintain the effectiveness of dicloxacillin sodium capsules and other antibacterial drugs, dicloxacillin sodium capsules should be used only to treat or prevent infections that are proven or strongly suspected to be cause"
dicyclomine,dicyclomine,0.99,dicyclomine,DICYCLOMINE HYDROCHLORIDE | Dicyclomine Hydrochloride | Dicyclomine hydrochloride,DICYCLOMINE HYDROCHLORIDE,"Bionpharma Inc. | Golden State Medical Supply, Inc. | Rising Pharma Holdings, Inc.",,0,8,11,2,,7 DRUG INTERACTIONS Antiglaucoma agents : anticholinergics antagonize antiglaucoma agents and may increase intraoccular pressure (7) Anticholinergic agents : may affect the gastrointestinal absorption of various drugs; may also increase certain actions or side effects of other anticholinergic drugs ,6 ADVERSE REACTIONS The pattern of adverse effects seen with dicyclomine is mostly related to its pharmacological actions at muscarinic receptors [see Clinical Pharmacology (12) ] ,"1 INDICATIONS AND USAGE Dicyclomine hydrochloride capsules, USP are indicated for the treatment of patients with functional bowel/irritable bowel syndrome"
diemthicone,dimethicone,0.95,dimethicone,Baby XtraCare Oatmeal | Gas Relief Ultra Strength,DIMETHICONE | SIMETHICONE,Rejoice International | Walgreens,,5,0,0,1,Warnings For extenal use only,,,Baby XtraCare® Oatmeal Daily Moisturizing Lotion Lightly Scented Dimethicon Skin Protectant with Natural Oat Extract Helps Soothe & Soften Baby's Skin 12 FL OZ (354 mL)
dienogest,dienogest,0.99,dienogest,Estradiol Valerate and Estradiol Valerate/Dienogest | Natazia,ESTRADIOL VALERATE AND ESTRADIOL VALERATE/DIENOGEST,Bayer HealthCare Pharmaceuticals Inc. | Sandoz Inc,,0,10,12,5,,7 DRUG INTERACTIONS Consult the labeling of all concurrently-used drugs to obtain further information about interactions with hormonal contraceptives or the potential for enzyme alterations ,6 ADVERSE REACTIONS The following serious adverse reactions with the use of COCs are discussed elsewhere in the labeling:,1 INDICATIONS AND USAGE
diethylamine salicylate,salicylic acid,0.95,salicylic acid,CeraVe Developed with Dermatologists Acne Control Cleanser | Clear Acne Spot Treatment | Quick Action,ACNE SPOT TREATMENT | SALICYLIC ACID,Kamedis | L'Oreal USA Products Inc | Walmart Inc.,,1,0,2,1,Warnings For external use only,,"ADVERSE REACTION Information: 1-888-287-1915 or Walmart.com/help DISTRIBUTED BY: Walmart Inc., Bentonville, AR 72716 PLASTIC TUBE Do Not Recycle how2recycle.info Made in the USA with domestic and imported ingredients",Use for the treatment of acne
diflucortolone valerate,diflucortolone valerate,0.99,diflucortolone valerate,Natazia,ESTRADIOL VALERATE AND ESTRADIOL VALERATE/DIENOGEST,Bayer HealthCare Pharmaceuticals Inc.,,10,10,2,1,WARNINGS FLAMMABLE,7 DRUG INTERACTIONS Consult the labeling of all concurrently-used drugs to obtain further information about interactions with hormonal contraceptives or the potential for enzyme alterations ,"ADVERSE REACTIONS The following local adverse reactions are reported infrequently with topical corticosteroids, but may occur more frequently with the use of occlusive dressings",INDICATIONS AND USAGE Topical corticosteroids are indicated for the relief of the inflammatory and pruritic manifestations of cortico-steroid-responsive dermatoses
diflucortrolone valerate,diflucortolone valerate,0.99,diflucortolone valerate,Natazia,ESTRADIOL VALERATE AND ESTRADIOL VALERATE/DIENOGEST,Bayer HealthCare Pharmaceuticals Inc.,,10,10,2,1,WARNINGS FLAMMABLE,7 DRUG INTERACTIONS Consult the labeling of all concurrently-used drugs to obtain further information about interactions with hormonal contraceptives or the potential for enzyme alterations ,"ADVERSE REACTIONS The following local adverse reactions are reported infrequently with topical corticosteroids, but may occur more frequently with the use of occlusive dressings",INDICATIONS AND USAGE Topical corticosteroids are indicated for the relief of the inflammatory and pruritic manifestations of cortico-steroid-responsive dermatoses
diflunisal,diflunisal,1.0,diflunisal,Diflunisal | diflunisal,DIFLUNISAL,"Chartwell RX, LLC | Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc. | Zydus Pharmaceuticals (USA) Inc.",,10,10,15,3,"WARNINGS Cardiovascular Effects Cardiovascular Thrombotic Events Clinical trials of several COX-2 selective and nonselective NSAIDs of up to three years duration have shown an increased risk of serious cardiovascular (CV) thrombotic events, including myocardial infarction (MI) and stroke, which can ",Drug Interactions ACE-inhibitors and Angiotensin II Anagonists Reports suggest that NSAIDs may diminish the antihypertensive effect of ACE-inhibitors and angiotensin II antagonists,"ADVERSE REACTIONS The adverse reactions observed in controlled clinical trials encompass observations in 2,427 patients",INDICATIONS AND USAGE Carefully consider the potential benefits and risks of diflunisal tablets and other treatment options before deciding to use diflunisal tablets
difluprednate,difluprednate,0.99,difluprednate,DIFLUPREDNATE | Difluprednate | Difluprednate Ophthalmic,DIFLUPREDNATE | DIFLUPREDNATE OPHTHALMIC,"Caplin Steriles Limited | Leading Pharma, LLC | Sandoz Inc",,0,0,7,2,,,6 ADVERSE REACTIONS The following serious reactions are found elsewhere in the labeling: Elevated intraocular pressure [see Warnings and Precautions (5.1) ] Posterior subcapsular cataract formation [see Warnings and Precautions (5.2) ] Secondary ocular infection [see Warnings and Precautions (5.4) ],"1 INDICATIONS AND USAGE Difluprednate ophthalmic emulsion is a topical corticosteroid that is indicated for: The treatment of inflammation and pain associated with ocular surgery (1.1) The treatment of endogenous anterior uveitis (1.2) 1.1 Ocular Surgery Difluprednate ophthalmic emulsion 0.05%, a to"
digezyme,pancrelipase,0.95,pancrelipase,Creon | FESTAL PLUS | OHM Pancreas Aid,"CELLULASE AP3 , PANCREATIN, SIMETHICONE | HELONIAS DIOICA, LACTICUM ACIDUM, PANCREAS SUIS, PANCREATINUM, PHOSPHORICUM ACIDUM, PHOSPHORUS, SYZYGIUM JAMBOLANUM, THYROIDINUM, URANIUM NITRICUM. | PANCRELIPASE","AbbVie Inc. | Lydia Co., Ltd. | OHM PHARMA INC.",,3,0,8,2,"WARNINGS: IF PREGNANT OR BREAST-FEEDING, ask a health professional before use",,6 ADVERSE REACTIONS The following serious or otherwise important adverse reactions are described elsewhere in the labeling: Fibrosing Colonopathy [see Warnings and Precautions ( 5.1 )] Irritation of the Oral Mucosa [see Warnings and Precautions ( 5.2 )] Hyperuricemia [see Warnings and Precautions ( ,1 INDICATIONS AND USAGE CREON ® is indicated for the treatment of exocrine pancreatic insufficiency in adult and pediatric patients
digoxin,digoxin,0.95,digoxin,Digoxin,DIGOXIN,A-S Medication Solutions | Bryant Ranch Prepack | Hikma Pharmaceuticals USA Inc.,,0,10,9,5,,"7 DRUG INTERACTIONS Digoxin has a narrow therapeutic index, increased monitoring of serum digoxin concentrations and for potential signs and symptoms of clinical toxicity is necessary when initiating, adjusting, or discontinuing drugs that may interact with digoxin","6 ADVERSE REACTIONS The following adverse reactions are included in more detail in the Warnings and Precautions section of the label: Cardiac arrhythmias [see Warnings and Precautions (5.1 , 5.2 )] Digoxin Toxicity [see Warnings and Precautions (5.3) ] The overall incidence of adverse reactions with",1 INDICATIONS & USAGE Digoxin is a cardiac glycoside indicated for: Treatment of mild to moderate heart failure in adults
dihydroxyaluminum sodium carbonate,aluminum hydroxide,0.95,aluminum hydroxide,GERI-LANTA ANTACID ANTIGAS | GERI-MOX ANTACID ANTIGAS | Mag-Al Plus,"ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, AND SIMETHICONE | ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, DIMETHICONE","ATLANTIC BIOLOGICALS CORP. | Cardinal Health 107, LLC | Geri-Care Pharmaceuticals, Corp",,4,0,0,1,Warnings Ask a doctor before use if you have kidney disease a magnesium-restricted diet Ask a doctor or pharmacist before use if you are presently taking a prescription drug,,,Uses relieves heartburn sour stomach acid indigestion the symptoms referred to as gas
diloxanide furoate,diloxanide furoate,0.99,diloxanide furoate,Fluticasone Propionate and Salmeterol | Mometasone Furoate,FLUTICASONE PROPIONATE AND SALMETEROL | MOMETASONE FUROATE,"Bryant Ranch Prepack | Glenmark Pharmaceuticals Inc., USA",,0,1,12,2,,7 DRUG INTERACTIONS No drug-drug interaction studies have been conducted with mometasone furoate cream,"6 ADVERSE REACTIONS Most common adverse reactions are: burning, pruritus, and skin atrophy","1 INDICATIONS AND USAGE Mometasone Furoate Cream USP, 0.1% is a corticosteroid indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses in patients 2 years of age or older"
diltiazem,diltiazem,0.95,diltiazem,Diltiazem Hydrochloride | Diltiazem Hydrochloride Extended-Release | diltiazem hydrochloride,DILTIAZEM HYDROCHLORIDE,Alembic Pharmaceuticals Inc. | Bryant Ranch Prepack | Mayne Pharma,,10,10,8,3,"WARNINGS Cardiac Conduction : Diltiazem hydrochloride prolongs AV node refractory periods without significantly prolonging sinus node recovery time, except in patients with sick sinus syndrome","Drug Interactions Because of the potential for additive effects, slow titration is warranted in patients receiving diltiazem hydrochloride concomitantly with other agents known to affect cardiac contractility and/or conduction (see WARNINGS )","ADVERSE REACTIONS Serious adverse reactions have been rare in studies carried out to date, but it should be recognized that patients with impaired ventricular function and cardiac conduction abnormalities have usually been excluded from these studies",INDICATIONS AND USAGE Diltiazem hydrochloride extended-release capsules are indicated for the treatment of hypertension
