ingredient,canonical_name,groq_confidence,fda_search_term,brand_names,generic_names,manufacturers,dosage_forms,warnings_count,interactions_count,adverse_count,indications_count,first_warning,first_interaction,first_adverse,first_indication
sodium tetraborate,sodium tetraborate,0.99,sodium tetraborate,Naproxen Sodium 220mg | Prime Tooth Care Hami Melon | Tri-Vite Drops with Fluoride,"ASCORBIC ACID, SODIUM FLUORIDE, VITAMIN A AND VITAMIN D | NAPROXEN SODIUM 220MG | SODIUM FLUORIDE","Command Brands, LLC | Method Pharmaceuticals, LLC | Prime Tooth Care LLC",,8,0,1,1,"Warnings Allergy alert: Naproxen sodium may cause a severe allergic reaction, especially in people allergic to aspirin",,ADVERSE REACTIONS Allergic rash and other idiosyncrasies have been rarely reported,Uses temporarily relieves minor aches and pains due to: minor pain of arthritis muscular aches backache menstrual cramps headache toothache the common cold temporarily reduces fever
sodium valproate,valproate,0.99,valproate,Valproate Sodium,VALPROATE SODIUM,"Fresenius Kabi USA, LLC | Hikma Pharmaceuticals USA Inc. | Sagent Pharmaceuticals",,0,10,15,5,,7 DRUG INTERACTIONS,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in the labeling:,1 INDICATIONS AND USAGE Valproate sodium injection is indicated as an intravenous alternative in patients in whom oral administration of valproate products is temporarily not feasible in the following conditions:
sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,0.99,sodium zirconium cyclosilicate,LOKELMA,SODIUM ZIRCONIUM CYCLOSILICATE,A-S Medication Solutions | AstraZeneca Pharmaceuticals LP,,0,6,12,4,,7 DRUG INTERACTIONS LOKELMA can transiently increase gastric pH,6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail elsewhere in the label:,1 INDICATIONS AND USAGE LOKELMA is indicated for the treatment of hyperkalemia in adults
sodiumcholoride,sodium chloride,0.98,sodium chloride,Histastat Pollen | Ringers | Sodium Chloride,"BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), ADRENALINUM, ALLIUM CEPA, AMBROSIA ARTEMISIAEFOLIA, ARSENICUM ALBUM, EUPHRASIA OFFICINALIS, HISTAMINUM HYDROCHLORICUM, NATRUM MURIATICUM, NATRUM SULPHURICUM, NUX VOMICA, PHOSPHORUS, PULSATILLA (PRATENSIS), SABADILLA, SINAPIS NIGRA, SOLIDAGO VIRGAUREA, SULPHUR, WYETHIA HELENIOIDES | SODIUM CHLORIDE | SODIUM CHLORIDE, CALCIUM CHLORIDE, AND POTASSIUM CHLORIDE","B. Braun Medical Inc. | Energique, Inc. | ICU Medical Inc.",,5,10,5,2,"WARNINGS: If pregnant or breast-feeding, ask a health professional before use",7 DRUG INTERACTIONS Drugs that Affect Electrolyte and/or Fluid Balance : Avoid concomitant use,"ADVERSE REACTIONS Possible adverse effects arising from the irrigation of body cavities, tissues, cells or indwelling catheters and tubes are usually avoidable when proper procedures are followed","INDICATIONS: May temporarily relieve sinus congestion, runny nose, and sneezing.** **Claims based on traditional homeopathic practice, not accepted medical evidence"
sodiumhyaluronate,sodium hyaluronate,0.99,sodium hyaluronate,BARUBT Luxuriose straffende lo-tion | YOUBUY Acne Care and Moisturizing Gel-Night Use | YOUBUY Snail Mucin 92% Moisturizer,ACNE CARE AND MOISTURIZING GEL-NIGHT USE | LUXURIOSE STRAFFENDE LOTION | SNAIL MUCIN 92% MOISTURIZER,"Guangdong Youbaijia Cosmetic Industry Co., Ltd",,1,0,0,1,For external use only,,,"LONG-LASTING MOISTURIZING, EFFECTIVE SOOTHING,ENVIRONMENTALLY FRIENDLY"
sofosbuvir,sofosbuvir,1.0,sofosbuvir,Epclusa | Ledipasvir and Sofosbuvir | Vosevi,"LEDIPASVIR AND SOFOSBUVIR | SOFOSBUVIR, VELPATASVIR, AND VOXILAPREVIR | VELPATASVIR AND SOFOSBUVIR","Asegua Therapeutics LLC | Gilead Sciences, Inc.",,0,10,12,5,,"7 DRUG INTERACTIONS P-gp inducers and/or moderate to strong CYP inducers (e.g., St",6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Serious Symptomatic Bradycardia When Coadministered with Amiodarone [see Warnings and Precautions (5.3) ],"1 INDICATIONS AND USAGE VOSEVI is indicated for the treatment of adult patients with chronic hepatitis C virus (HCV) infection without cirrhosis or with compensated cirrhosis (Child-Pugh A) who have [see Dosage and Administration (2.2) and Clinical Studies (14) ]: genotype 1, 2, 3, 4, 5, or 6 infect"
solifenacin succinate,solifenacin,0.99,solifenacin,Solifenacin Succinate | Solifenacin succinate | solifenacin succinate,SOLIFENACIN SUCCINATE,"Actavis Pharma, Inc. | Glenmark Pharmaceuticals Inc., USA | Proficient Rx LP",,0,4,11,2,,7 DRUG INTERACTIONS CYP3A4 Inhibitors : Do not exceed the 5 mg dose of solifenacin succinate with concomitant use of strong CYP3A4 inhibitors ( 7.1 ),6 ADVERSE REACTIONS The most common adverse reactions (> 4% in solifenacin succinate-treated patients and > placebo-treated patients) were dry mouth and constipation at both 5 mg and 10 mg doses; and urinary tract infection and blurred vision at the 10 mg dose ( 6.1 ),"1 INDICATIONS AND USAGE Solifenacin succinate tablets are indicated for the treatment of adults with overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency"
somatropin,somatropin,0.95,somatropin,Norditropin | Vital Age Defiance | Vital Immune Booster,"APIS MELLIFICA, BORAX, CARDUUS MARIANUS, CISTUS CANADENSIS, ECHINACEA (ANGUSTIFOLIA), GALIUM APARINE, HEPAR SUIS, HEPAR SULPHURIS CALCAREUM, HUMAN GROWTH HORMONE, HYPOPHYSIS SUIS, NITRICUM ACIDUM, PHYTOLACCA DECANDRA, SULPHUR, THUJA OCCIDENTALIS, THYMUS SUIS | HUMAN GROWTH HORMONE, HYPOPHYSIS SUIS, HEPAR SUIS | SOMATROPIN","Liddell Laboratories, Inc. | Novo Nordisk",,8,10,15,5,WARNINGS: Do not use if you have ever had an allergic reaction to this product or any of its ingredients,7 DRUG INTERACTIONS Table 2 includes a list of drugs with clinically important drug interactions when administered concomitantly with NORDITROPIN and instructions for preventing or managing them,6 ADVERSE REACTIONS The following important adverse reactions are also described elsewhere in the labeling:,INDICATIONS: May help support the body's natural defense mechanisms and may temporarily relieve symptoms such as:
sorafenib,sorafenib,0.95,sorafenib,sorafenib,SORAFENIB,"Dr.Reddys Laboratories Inc | Upsher-Smith Laboratories, LLC | Yabao Pharmaceutical Co., Ltd. Beijing",,0,10,6,2,,"Strong CYP3A Inducers: Avoid strong CYP3A4 inducers.(7.1) 7.1 Effect of Other Drugs on Sorafenib Tablets Strong CYP3A4 Inducers The concomitant use of sorafenib tablets with rifampin, a strong CYP3A4 inducer decreased the mean AUC of sorafenib, which may decrease the antitumor activity [see Clinical","The most common adverse reactions (≥20%) are diarrhea, fatigue, infection, alopecia, hand-foot skin reaction, rash, weight loss, decreased appetite, nausea, gastrointestinal and abdominal pains, hypertension, and hemorrhage","Sorafenib tablets are a kinase inhibitor indicated for the treatment of Unresectable hepatocellular carcinoma(1.1) Locally recurrent or metastatic, progressive, differentiated thyroid carcinoma (DTC) refractory to radioactive iodine treatment (1.3) 1.1 Hepatocellular Carcinoma Sorafenib tablets are "
sorbitan stearate,sorbitan stearate,0.99,sorbitan stearate,Mekinist | Naproxen,NAPROXEN | TRAMETINIB,A-S Medication Solutions | Novartis Pharmaceuticals Corporation,,10,10,15,5,"WARNINGS Suicidal Behavior and Ideation Antiepileptic drugs (AEDs), including gabapentin, increase the risk of suicidal thoughts or behavior in patients taking these drugs for any indication",7 DRUG INTERACTIONS See Table 1 for clinically significant drug interactions with naproxen,6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling:,1 INDICATIONS AND USAGE Naproxen tablets and naproxen sodium tablets are indicated for: the relief of the signs and symptoms of:
