ingredient,canonical_name,groq_confidence,fda_search_term,brand_names,generic_names,manufacturers,dosage_forms,warnings_count,interactions_count,adverse_count,indications_count,first_warning,first_interaction,first_adverse,first_indication
magnesium bisglycinate,magnesium bisglycinate,0.99,magnesium bisglycinate,Acid Reducer | MILK OF MAGNESIA,ESOMEPRAZOLE MAGNESIUM | MAGNESIUM HYDROXIDE,CVS Pharmacy | Strategic Sourcing Services LLC,,3,0,1,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,,ADVERSE REACTIONS: Allergic sensitization has been reported following both oral and parenteral administration of folic acid,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
magnesium carbonate,magnesium carbonate,0.99,magnesium carbonate,Humco Dewees Carminative | OMEOSPORT | Renacidin,".ALPHA.-KETOGLUTARIC ACID - ACONITIC ACID, CIS - ADENOSINE TRIPHOSPHATE - ALPHA LIPOIC ACID - ASCORBIC ACID - ASIAN GINSENG - BARIUM CATION - BEET - CEROUS OXALATE NONAHYDRATE - COENZYME A - CYSTEINE - FUMARIC ACID - LACTIC ACID, DL - MAGNESIUM CARBONATE - MALIC ACID - MANGANESE PHOSPHATE, DIBASIC - PORK - PYRIDOXINE HYDROCHLORIDE - RIBOFLAVIN - SODIUM DIETHYL OXALACETATE - SODIUM PYRUVATE - SUCCINIC ACID - SUS SCROFA ADRENAL GLAND - THIAMINE HYDROCHLORIDE - SUS SCROFA EMBRYO - | CITRIC ACID, GLUCONOLACTONE AND MAGNESIUM CARBONATE | MAGNESIUM CARBONATE","Guna spa | Humco Holding Group, inc. | United-Guardian, Inc.",,3,0,2,3,WARNINGS Stop use and ask doctor if symptoms persist more than 5 days or worsen,,"ADVERSE REACTIONS The most common adverse reactions with use of Renacidin for dissolution of bladder calculi or prevention of encrustations of indwelling urethral catheters are “bladder irritability” and chemical cystitis, both reported to occur in approximately 3% of patients",Directions: Turn tube upside down and rotate cap to release pellets into cap
magnesium chloride,magnesium chloride,0.99,magnesium chloride,MEB Gluco-Vitality Patch | MEB PainGuard Patch | MEB Puri-Mega | Vascu-Pro T009,"CACTUS GRANDIFLORUS, HAMAMELIS VIRGINIANA, VALERIANA OFFICINALIS, ARTERIA SUIS, HEART (SUIS), ARNICA MONTANA, AURUM METALLICUM, BARYTA MURIATICA, CHOLESTERINUM, LECITHIN, MAGNESIA MURIATICA, OXALICUM ACIDUM, PHOSPHORUS | MEB GLUCO-VITALITY PATCH | MEB PAINGUARD PATCH | MEB PURI-MEGA","Guangzhou Renuma Medical Systems Co., Ltd | Kadesh Incoporation Co,Ltd",,5,0,0,4,"Do not Use *If the needles inside the patch do not cause a tingling sensation, do not use it and replace it with a new patch",,,"The MEB PainGuard Patch is designed to provide effective pain relief and treat various types of pain, providing fast-acting and long-lasting relief from pain, helping to alleviate discomfort caused by muscle pain, nerve pain, and other common types of pain"
magnesium citrate,magnesium citrate,0.99,magnesium citrate,Folcyteine | citroma,MAGNESIUM CITRATE | MULTIVITAMIN,"BETTER LIVING BRANDS LLC | Consumer Product Partners, LLC | PureTek Corporation",,1,0,2,2,Warnings for this product,,"Adverse Reaction Distributed by: Consumer Product Partners, LLC St",Uses for relief of occasional constipation (irregularity)
magnesium gluconate,magnesium gluconate,0.99,magnesium gluconate,Cardiotone | Liver Drainage | Systemic Drainage,"ADENOSINUM TRIPHOSPHORICUM DINATRUM, CACTUS GRANDIFLORUS, CONVALLARIA MAJALIS, HEART (SUIS), MAGNESIUM GLUCONATE, POTASSIUM GLUCONATE, THYROIDINUM (SUIS), UBIDECARENONUM, GERMANIUM SESQUIOXIDE, STROPHANTHUS HISPIDUS, ADONIS VERNALIS, DIGITALIS PURPUREA | ALFALFA, AVENA SATIVA, BERBERIS VULGARIS, CHELIDONIUM MAJUS, CITRUS LIMONUM, GALIUM APARINE, GLYCYRRHIZA GLABRA, HEPAR SUIS, INTESTINE (SUIS), KIDNEY (SUIS), LACTICUM ACIDUM, LUNG (SUIS), LYMPH NODE (SUIS), MAGNESIUM GLUCONATE DIHYDRICUM, NUX VOMICA, POTASSIUM GLUCONATE, SARCOLACTICUM ACIDUM, SCHISANDRA CHINENSIS, SOLIDAGO VIRGAUREA, TABACUM, TARAXACUM OFFICINALE, TYLOPHORA ASTHMATICA, UVA-URSI, ZINCUM GLUCONICUM. | CHELIDONIUM MAJUS, CARDUUS MARIANUS, SCHISANDRA CHINENSIS, TARAXACUM OFFICINALE, BERBERIS VULGARIS, RAPHANUS SATIVUS, VISCUM ALBUM, CHROMIUM PICOLINATE, COBALT GLUCONATE, COPPER GLUCONATE, MAGNESIUM GLUCONATE, NATRUM SULPHURICUM, PTELEA TRIFOLIATE, SARCOLACTICUM ACIDUM, SULPHUR IODATUM, CARBOLICUM ACIDUM, CICHORIUM INTYBUS, FLOS, GALLBLADDER (SUIS), HEPAR SUIS, NUX VOMICA, PANCREAS SUIS, VANADIUM METALLICUM, VERBENA OFFICINALIS, FLOS, PICRORHIZA KURROA","BioActive Nutritional, Inc. | Deseret Biologicals, Inc.",,5,0,0,5,"WARNINGS: If pregnant or breast-feeding, ask a health professional before use",,,For the temporary relief of symptoms including:
magnesium hydrogen aspartate,magnesium hydrogen aspartate,0.95,magnesium hydrogen aspartate,Mekinist,TRAMETINIB,Novartis Pharmaceuticals Corporation,,10,2,15,5,"WARNINGS Suicidal Behavior and Ideation Antiepileptic drugs (AEDs), including gabapentin, increase the risk of suicidal thoughts or behavior in patients taking these drugs for any indication",7 DRUG INTERACTIONS MEKINIST is indicated for use in combination with dabrafenib,6 ADVERSE REACTIONS The following clinically significant adverse reactions are described elsewhere in the labeling: New Primary Malignancies [see Warnings and Precautions ( 5.1)] Hemorrhage [see Warnings and Precautions (5.2)] Colitis and Gastrointestinal Perforation [see Warnings and Precautions (5,1 INDICATIONS AND USAGE MEKINIST is a kinase inhibitor indicated as a single agent for the treatment of BRAF-inhibitor treatment-naïve patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test
magnesium hydroxide,magnesium hydroxide,0.99,magnesium hydroxide,MILK OF MAGNESIA | Multi Symptom Antacid Berry Flavor,"CALCIUM CARBONATE ,MAGNESIUM HYDROXIDE,SIMETHICONE | MAGNESIUM HYDROXIDE","MEIJER DISTRIBUTION, INC | STRATEGIC SOURCING SERVICES LLC | Strategic Sourcing Services LLC",,7,0,0,1,"Warnings Ask a doctor before use if you have kidney disease a magnesium-restricted diet stomach pain, nausea, or vomiting a sudden change in bowel habits that lasts over 14 days ​ Ask a doctor or pharmacist before use if you are presently taking a prescription drug",,,Uses relieves occasional constipation (irregularity) generally produces bowel movement in 1/2 to 6 hours
magnesium nicotinate,nicotinic acid,0.95,nicotinic acid,Methylation Assist Liquescence,"INOSITOL, METHYLCOBALAMIN (VITAMIN B12), NADIDUM (NADH), NIACIN (NICOTINIC ACID) , NICOTINAMIDUM (NIACINAMIDE), L-METHIONINE, PYRIDOXINUM HYDROCHLORICUM (VITAMIN B6), SAME (S-ADENOSYL METHIONINE), ZINCUM GLUCONICUM, MAGNESIUM GLUCONICUM DIHYDRICUM, RIBOFLAVINUM (VITAMIN B2), UBIDECARENONUM COQ10), DOPAMINE, SEROTONIN, EGG WHITE","Nutritional Specialties, Inc.",,5,0,0,2,"WARNINGS: Professional Use Only If pregnant or breast-feeding, ask a health professional before use",,,"INDICATIONS: Provides potentized homeo-nutritional support for the body's natural ability to methylate properly.† †Claims based on traditional homeopathic practice, not accepted medical evidence"
magnesium nitrate,magnesium nitrate,0.99,magnesium nitrate,Acid Reducer,ESOMEPRAZOLE MAGNESIUM,CVS Pharmacy,,3,10,8,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,"Drug Interactions Due to the potential for additive effects, caution and careful titration are warranted in patients receiving diltiazem concomitantly with any agents known to affect cardiac contractility and/or conduction (see WARNINGS )","ADVERSE REACTIONS Serious adverse reactions have been rare in studies carried out to date, but it should be recognized that patients with impaired ventricular function and cardiac conduction abnormalities usually have been excluded",Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
magnesium oxide,magnesium oxide,0.99,magnesium oxide,Intimate | Magnesium Oxide | Menatrol,"ANACARDIUM ORIENTALE, AURUM MURIATICUM NATRONATUM, CAMPHORA, DNA (HUMAN), GERMANIUM METALLICUM, HELLEBORUS NIGER, HYDROGEN, LAC CANINUM, LAC MATERNA HUMANUM, LITHIUM CARBONICUM, MAGNESIA OXYDATA, NATRUM CARBONICUM, NEON, OXYTOCIN, PLACENTA TOTALIS SUIS, RHUS GLABRA, SACCHARUM OFFICINALE, STRAMONIUM, THUJA OCCIDENTALIS | FOLATE, MULTIVITAMIN | MAGNESIUM OXIDE","Deseret Biologicals, Inc. | Method Pharmaceuticals, LLC | PureTek Corporation",,5,1,2,5,"WARNINGS: If pregnant or breastfeeding, ask a health professional before use","Drug Interactions: Consult with a licensed healthcare practitioner before use if taking prescription medications, especially those affecting bone health or hormonal therapies",Adverse Reactions: Possible side effects may include gastrointestinal upset,For the temporary relief of symptoms including:
